Drug Name,Price (Dhs),Usage
Crestor 20 Mg Comprime Pellicule,250.0,"Adultes ; Traitement de l'hypercholestérolémie ; Hypercholestérolémie primaire (type IIa incluant les hypercholestérolémies familiales hétérozygotes) ou dyslipidémies mixtes (type IIb), en complément d'un régime lorsque la réponse au régime et aux autres traitements non pharmacologiques n'est pas suffisante. ; En cas d'hypercholestérolémie familiale homozygote, en complément d'un régime et d'autres mesures à but hypolipémiant ou lorsque ces mesures ne sont pas appropriées. ; Prévention des complications cardio-vasculaires ; Rosuvastatine est utilisée pour réduire le risque d'événements cardio-vasculaires sévères chez les patients adultes présentant un taux normal de LDL-cholestérol, mais dont le risque de maladies cardio-vasculaires athéroscléreuses est accru en raison de l'âge (hommes ≥50 ans, femmes ≥60 ans), d'un taux accru de hsCRP (≥2,0 mg/l) et au moins d'un autre facteur de risque cardio-vasculaire tel qu'hypertension, tabagisme, faible taux de HDL-C ou antécédent familial de cardiopathie coronarienne prématurée. ; Chez les patients hypercholestérolémiques, il est nécessaire de surveiller les valeurs lipidiques et de respecter les recommandations posologiques ci-dessous. Il est en outre nécessaire de traiter les autres causes connues de morbi-mortalité cardio-vasculaire conformément aux directives applicables. ; Enfants et adolescents de 10 à 17 ans ; Garçons et filles (au moins un an après la ménarche) souffrant d'hypercholestérolémie familiale hétérozygote, en complément d'un régime alimentaire, lorsque la réponse au régime et aux autres mesures non pharmacologiques (p.ex. exercice physique, perte de poids) reste insuffisante."
Crestor 5 Mg Comprime,114.1,"Adultes ; Traitement de l'hypercholestérolémie ; Hypercholestérolémie primaire (type IIa incluant les hypercholestérolémies familiales hétérozygotes) ou dyslipidémies mixtes (type IIb), en complément d'un régime lorsque la réponse au régime et aux autres traitements non pharmacologiques n'est pas suffisante. ; En cas d'hypercholestérolémie familiale homozygote, en complément d'un régime et d'autres mesures à but hypolipémiant ou lorsque ces mesures ne sont pas appropriées. ; Prévention des complications cardio-vasculaires ; Rosuvastatine est utilisée pour réduire le risque d'événements cardio-vasculaires sévères chez les patients adultes présentant un taux normal de LDL-cholestérol, mais dont le risque de maladies cardio-vasculaires athéroscléreuses est accru en raison de l'âge (hommes ≥50 ans, femmes ≥60 ans), d'un taux accru de hsCRP (≥2,0 mg/l) et au moins d'un autre facteur de risque cardio-vasculaire tel qu'hypertension, tabagisme, faible taux de HDL-C ou antécédent familial de cardiopathie coronarienne prématurée. ; Chez les patients hypercholestérolémiques, il est nécessaire de surveiller les valeurs lipidiques et de respecter les recommandations posologiques ci-dessous. Il est en outre nécessaire de traiter les autres causes connues de morbi-mortalité cardio-vasculaire conformément aux directives applicables. ; Enfants et adolescents de 10 à 17 ans ; Garçons et filles (au moins un an après la ménarche) souffrant d'hypercholestérolémie familiale hétérozygote, en complément d'un régime alimentaire, lorsque la réponse au régime et aux autres mesures non pharmacologiques (p.ex. exercice physique, perte de poids) reste insuffisante."
Cristal Nour Suppositoire,8.4,Constipations
Crizepine 100 Mg5 Ml Suspension Buvable,38.3,"EPILEPSIES ; CHEZ L’ADULTE ; - soit en monothérapie ; ; - soit en association à un autre traitement antiépileptique ; ; - traitement des épilepsies partielles avec ou sans généralisation secondaire ; ; - traitement des épilepsies généralisées : crises tonico-cloniques. ; CHEZ L’ENFANT ; - soit en monothérapie ; ; - soit en association à un autre traitement antiépileptique ; ; - traitement des épilepsies partielles avec ou sans généralisation secondaire ; ; - traitement des épilepsies généralisées : crises tonico-cloniques. ; PSYCHIATRIE ; - Prévention des rechutes dans le cadre des troubles bipolaires, notamment chez les patients présentant une résistance relative, des contre-indications ou une intolérance au lithium. ; - Traitement des états d’excitation maniaque ou hypomaniaque. ; Douleurs ; - Traitement des névralgies du trijumeau et du glossopharyngien. ; - Traitement des douleurs neuropathiques de l’adulte."
Crizepine 200 Mg Comprime Secable 2,47.9,"EPILEPSIES ; CHEZ L’ADULTE ; - soit en monothérapie ; ; - soit en association à un autre traitement antiépileptique ; ; - traitement des épilepsies partielles avec ou sans généralisation secondaire ; ; - traitement des épilepsies généralisées : crises tonico-cloniques. ; CHEZ L’ENFANT ; - soit en monothérapie ; ; - soit en association à un autre traitement antiépileptique ; ; - traitement des épilepsies partielles avec ou sans généralisation secondaire ; ; - traitement des épilepsies généralisées : crises tonico-cloniques. ; PSYCHIATRIE ; - Prévention des rechutes dans le cadre des troubles bipolaires, notamment chez les patients présentant une résistance relative, des contre-indications ou une intolérance au lithium. ; - Traitement des états d’excitation maniaque ou hypomaniaque. ; Douleurs ; - Traitement des névralgies du trijumeau et du glossopharyngien. ; - Traitement des douleurs neuropathiques de l’adulte."
Cronodine Lp 120 Mg Gelule,113.5,"Classe pharmacothérapeutique - Antagoniste calcique sélectif à effets cardiaques directs / dérivé de benzothiazepine. ; Diltiazem appartient à une classe de médicaments appelée les inhibiteurs calciques. Ce médicament permet une diminution du travail du cœur et une dilatation des vaisseaux sanguins. Il augmente le débit du sang dans les artères coronaires et améliore ainsi l’apport d’oxygène au cœur. ; Ce médicament est utilisé : ; · pour prévenir les crises d’angine de poitrine (angor d'effort, angor spontané dont l'angor de Prinzmetal). ; L'angine de poitrine est responsable de l’apparition d’une douleur localisée dans la poitrine qui peut irradier vers l’épaule gauche et la mâchoire. Elle est provoquée par une diminution de l'apport en sang et en oxygène au niveau du cœur. ; Ce médicament est réservé à l’adulte. Il est déconseillé de l’utiliser chez l’enfant"
Cronodine Lp 240 Mg Gelule,165.0,"Classe pharmacothérapeutique - Antagoniste calcique sélectif à effets cardiaques directs / dérivé de benzothiazepine. ; Diltiazem appartient à une classe de médicaments appelée les inhibiteurs calciques. Ce médicament permet une diminution du travail du cœur et une dilatation des vaisseaux sanguins. Il augmente le débit du sang dans les artères coronaires et améliore ainsi l’apport d’oxygène au cœur. ; Ce médicament est utilisé : ; · pour prévenir les crises d’angine de poitrine (angor d'effort, angor spontané dont l'angor de Prinzmetal). ; L'angine de poitrine est responsable de l’apparition d’une douleur localisée dans la poitrine qui peut irradier vers l’épaule gauche et la mâchoire. Elle est provoquée par une diminution de l'apport en sang et en oxygène au niveau du cœur. ; Ce médicament est réservé à l’adulte. Il est déconseillé de l’utiliser chez l’enfant"
Curacne 20 Mg Capsule Molle,270.0,Formes sévères d'acné s'étant révélées résistantes à des cycles thérapeutiques standard adéquats avec des antibiotiques systémiques et des traitements topiques.
Curacne 40 Mg Capsule Molle,483.0,Formes sévères d'acné s'étant révélées résistantes à des cycles thérapeutiques standard adéquats avec des antibiotiques systémiques et des traitements topiques.
Curacne 5 Mg Capsule Molle,114.9,Formes sévères d'acné s'étant révélées résistantes à des cycles thérapeutiques standard adéquats avec des antibiotiques systémiques et des traitements topiques.
Cureaml 500Mg Gelule,69.5,Traitement des patients atteints de ; · leucémies myéloïdes chroniques résistantes ; · polyglobulie primitive (polycythémia vera) ; · thrombocytémie essentielle avec un fort risque de complications thromboemboliques
Curosurf 120 Mg,4205.0,Traitement des nouveau-nés prématurés à haut risque de présenter ou présentant un syndrome de détresse respiratoire (SDR) par déficit en surfactant pulmonaire (maladie des membranes hyalines).
Curtec 10 Mg Comprime,42.8,Cétirizine  dosé à 10 mg est indiqué chez l'adulte et l’enfant de 6 ans et plus : ; - dans le traitement des symptômes nasaux et oculaires des rhinites allergiques saisonnières et perannuelles ; ; - dans le traitement des symptômes de l'urticaire chronique idiopathique ; ; Un avis médical est recommandé pour l’urticaire chronique idiopathique.
Curtec 10 Mg Comprime 2,82.2,Les comprimés pelliculés de dichlorhydrate de cétirizine 10 mg sont indiqués chez l'adulte et l'enfant de 6 ans et plus : ; · dans le traitement des symptômes nasaux et oculaires des rhinites allergiques saisonnières et per annuelles ; ; · dans le traitement des symptômes de l'urticaire chronique idiopathique.
Curtec 1Mg1Ml Solution Buvable,18.7,- Traitement des symptômes nasaux et oculaires des rhinites allergiques saisonnières et perannuelles ; ; - Traitement des symptômes de l'urticaire chronique idiopathique.
Cutacnyl 0025 Gel,27.3,"Acné vulgaire. ; Cutacnyl 2,5 % et Cutacnyl 5 % seront préférentiellement utilisés dans les cas suivants : ; · acnés débutantes de l’adolescent, ; · chez les sujets à peau fragile, notamment les enfants, les sujets blonds ou roux, ; · en début de traitement, en période d’essai, afin de s’assurer de la bonne tolérance du produit, ; · en cure d’entretien des acnés blanchies."
Cutacnyl 005 Gel,34.5,"Acné vulgaire. ; Cutacnyl 2,5 % et Cutacnyl 5 % seront préférentiellement utilisés dans les cas suivants : ; · acnés débutantes de l’adolescent, ; · chez les sujets à peau fragile, notamment les enfants, les sujets blonds ou roux, ; · en début de traitement, en période d’essai, afin de s’assurer de la bonne tolérance du produit, ; · en cure d’entretien des acnés blanchies."
Cutacnyl 01 Gel,34.5,"Acné vulgaire. ; Cutacnyl 2,5 % et Cutacnyl 5 % seront préférentiellement utilisés dans les cas suivants : ; - acnés débutantes de l’adolescent, ; - chez les sujets à peau fragile, notamment les enfants, les sujets blonds ou roux, ; - en début de traitement, en période d’essai, afin de s’assurer de la bonne tolérance du produit, ; - en cure d’entretien des acnés blanchies."
Cyclo 3 Fort Gelule,69.9,"Chez l’adulte : ; - Traitement des symptômes en rapport avec une insuffisance veinolymphatique (jambes lourdes, douleurs, impatiences de primodécubitus). ; - Traitement des signes fonctionnels liés à la crise hémorroïdaire."
Cyclo 3 Fort Solution Buvable,81.1,"Indiqué chez l’adulte : ; · Traitement des symptômes en rapport avec une insuffisance veinolymphatique (jambes lourdes, douleurs, impatiences de primodécubitus). ; · Traitement des signes fonctionnels liés à la crise hémorroïdaire."
Cyclomide Novopharma 1000 Mg Poudre Pour Usage Parenterale,80.0,"Traitement adjuvant et en situation métastatique des adénocarcinomes mammaires. ; Traitement des cancers ovariens, des cancers bronchiques notamment à petites cellules, des séminomes et carcinomes embryonnaires testiculaires, des cancers de la vessie, des sarcomes, des neuroblastomes, des lymphomes malins hodgkiniens et non hodgkiniens, des myélomes multiples, des leucémies aiguës notamment lymphoïdes. ; A forte dose, conditionnement des allo- et autogreffes médullaires. ; A faible dose, traitement des polyarthrites rhumatoïdes, granulomatose de Wegener, de certaines formes sévères de lupus érythémateux aigus disséminés, de néphropathies auto-immunes cortico-résistantes."
Cyclomide Novopharma 500 Mg Poudre Pour Usage Parenterale,47.0,"Traitement adjuvant et en situation métastatique des adénocarcinomes mammaires. ; Traitement des cancers ovariens, des cancers bronchiques notamment à petites cellules, des séminomes et carcinomes embryonnaires testiculaires, des cancers de la vessie, des sarcomes, des neuroblastomes, des lymphomes malins hodgkiniens et non hodgkiniens, des myélomes multiples, des leucémies aiguës notamment lymphoïdes. ; A forte dose, conditionnement des allo- et autogreffes médullaires. ; A faible dose, traitement des polyarthrites rhumatoïdes, granulomatose de Wegener, de certaines formes sévères de lupus érythémateux aigus disséminés, de néphropathies auto-immunes cortico-résistantes."
Cymbalta 60 Mg Gelule,274.0,"Traitement d’une dépression. ; Prévention de la récidive d’une dépression unipolaire récurrente (≥3 épisodes dépressifs) (après une réponse initiale, prévention de la récurrence de nouveaux épisodes dépressifs). ; Traitement de la douleur neuropathique diabétique. ; Traitement du trouble de l’anxiété généralisée."
Cymevene 500 Mg Lyophilisat Pour Usage Parenteral,537.0,Ganciclovir est indiqué chez les adultes et les adolescents ≥ 12 ans pour : ; - le traitement des infections à cytomégalovirus (CMV) chez les patients immunodéprimés ; - la prévention des infections à CMV en utilisant un traitement pré-emptif chez les patients présentant une immunosuppression induite par un traitement médicamenteux (par exemple à la suite d'une greffe d'organe ou d'une chimiothérapie anticancéreuse). ; Ganciclovir est également indiqué dès la naissance pour la : ; - prévention des infections à CMV en utilisant une prophylaxie universelle chez les patients présentant une immunodépression induite par un traitement médicamenteux (par exemple suite à une greffe d'organe ou une chimiothérapie anticancéreuse). ; Il convient de prendre en compte les recommandations officielles sur l'utilisation appropriée des agents antiviraux.
Cyramza 10 Mg Ml Solution A Diluer Pour Perfusion,4999.0,"Cancer gastrique CYRAMZA®, en monothérapie ou en association avec le paclitaxel, est indiqué pour le traitement des patients atteints d’un cancer gastrique ou d’un adénocarcinome de la jonction gastro-oesophagienne au stade avancé ou métastatique, lorsque la maladie évolue pendant ou après une chimiothérapie à base de sels de platine et de fluoropyrimidine. ; Cancer bronchique non à petites cellules (CBNPC) CYRAMZA est indiqué, en association avec le docétaxel, pour le traitement des patients atteints d’un cancer bronchique non à petites cellules (CBNPC) dont la maladie a progressé pendant ou après une chimiothérapie à base de sels de platine. Pour les patients présentant des aberrations génomiques tumorales du récepteur du facteur de croissance épidermique (EGFR) ou du gène kinase du lymphome anaplasique (ALK), une progression de leur maladie doit être constatée au cours d’un traitement approuvé par la FDA pour ces aberrations avant de recevoir CYRAMZA. ; Cancer colorectal CYRAMZA, en association avec la chimiothérapie FOLFIRI (irinotécan, acide folinique et fluorouracile), est indiqué pour le traitement des patients atteints d’un cancer colorectal métastatique (CCRM) dont la maladie a progressé pendant ou après un traitement par bevacizumab, oxaliplatine et une fluoropyrimidine. ; Carcinome hépatocellulaire (CHC) CYRAMZA, en monothérapie, est indiqué pour le traitement des patients atteints d’un carcinome hépatocellulaire avec un taux d’alpha-foetoprotéine sérique ≥ 400 ng/ml et ayant été antérieurement traités par sorafénib."
Cyteal 250 Ml Solution Moussante,27.1,Nettoyage des affections de la peau et des muqueuses primitivement bactériennes ou susceptibles de se surinfecter. ; Remarque : Les agents antiseptiques ne sont pas stérilisants. Ils réduisent temporairement le nombre de micro-organismes.
Cyteal 500 Ml Solution Moussante,46.1,Nettoyage des affections de la peau et des muqueuses primitivement bactériennes ou susceptibles de se surinfecter. ; Remarque : Les agents antiseptiques ne sont pas stérilisants. Ils réduisent temporairement le nombre de micro-organismes.
Cytomib 3 5 Mg Poudre Pour Solution Injectable,3306.0,Myélome multiple en progression ; Myélome multiple non traité au préalable ; Lymphome à cellules du manteau non traité au préalable
D Cure 2400 Uiml Solution Buvable,51.5,Le colécalciférol est utilisé dans la prise en charge de carences en vitamine D
D Cure Ampoule Buvable,56.3,D-CURE est indiqué dans le traitement précoce de la carence en vitamine D
D Cure Forte Ampoule,46.3,Le colécalciférol est utilisé dans la prise en charge de carences en vitamine D
D Rubicin 10Mg10 Ml Poudre Pour Usage Parenteral,95.3,"- Carcinomes du sein ; - Sarcomes des os et des parties molles ; - Maladie de Hodgkin, lymphomes non hodgkiniens ; - Tumeurs solides de l'enfant ; - Cancers du poumon ; - Leucémies aiguës et chroniques ; - Cancers de la vessie, de l’ovaire, de l'estomac"
D Rubicin 50Mg50 Ml Poudre Pour Usage Parenteral,409.0,"- Carcinomes du sein ; - Sarcomes des os et des parties molles ; - Maladie de Hodgkin, lymphomes non hodgkiniens ; - Tumeurs solides de l'enfant ; - Cancers du poumon ; - Leucémies aiguës et chroniques ; - Cancers de la vessie, de l’ovaire, de l'estomac"
Daflon 1000 Mg Comprime Pellicule,111.7,Phlébotrope indiqué dans les troubles de la circulation veineuse et dans la crise hémorroïdaire
Daflon 1000 Mg Comprime Pellicule 2,187.9,Phlébotrope indiqué dans les troubles de la circulation veineuse et dans la crise hémorroïdaire
Daily Ge 005Mg003Mg Et 0075Mg004Mg Et 0125Mg003Mg Comprime Enrobe 2,20.0,Contraception orale
Daivobet 50 %C2%B5G 0 5 Mg G Gel Dermique,274.0,Traitement topique du psoriasis du cuir chevelu chez les adultes. ; Traitement topique des plaques de psoriasis vulgaire léger à modéré en dehors du cuir chevelu chez les adultes.
Daivobet 50 %C2%B5G 0 5 Mg G Pommade 2,544.0,Traitement topique du psoriasis du cuir chevelu chez les adultes. ; Traitement topique des plaques de psoriasis vulgaire léger à modéré en dehors du cuir chevelu chez les adultes.
Daivobet 50%C2%B5G05 Mgg Pommade,594.0,Traitement topique du psoriasis du cuir chevelu chez les adultes. ; Traitement topique des plaques de psoriasis vulgaire léger à modéré en dehors du cuir chevelu chez les adultes.
Daivonex 50 %C2%B5Gg Pommade,116.5,Traitement topique du psoriasis en plaques (psoriasis vulgaire) affectant jusqu'à 40 % de la surface corporelle.
Daktarin 002 Gel Buccal,49.5,"DAKTARIN 2 %, gel buccal est indiqué dans le traitement des mycoses de la cavité buccale de l’adulte et de l’enfant âgé de 4 mois et plus (voir rubriques 4.3 et 4.4) : muguet, perlèche, glossites, gingivites, stomatites."
Darelax 25 Mg Gelule 2,41.0,"Traitement des formes chroniques et sévères de spasticité des muscles squelettiques résultant de troubles tels que les accidents vasculaires cérébraux, les lésions de la moelle épinière, la paralysie cérébrale et la sclérose en plaques chez l’adulte et chez l’enfant de plus de 5 ans pesant 25 kg ou plus."
Daromed T 20 Mg 5 Mg 5 Mg Collyre En Solution,100.1,"Traitement de la pression intra-oculaire élevée (PIO) chez les patients présentant un glaucome à angle ouvert ou un glaucome pseudo-exfoliatif, lorsqu'une monothérapie par bêta-bloquant administrée par voie oculaire est insuffisante."
Darzalex 20 Mg Ml Solution A Diluer Pour Perfusion,19423.0,"DARZALEX est indiqué : ; - en association avec le lénalidomide et la dexaméthasone ou avec le bortézomib, le melphalan et la prednisone pour le traitement des patients adultes atteints d’un myélome multiple nouvellement diagnostiqué et non éligibles à une autogreffe de cellules souches ; ; - en association avec le bortézomib, le thalidomide et la dexaméthasone pour le traitement des patients adultes atteints d’un myélome multiple nouvellement diagnostiqué et éligibles à une ; autogreffe de cellules souches ; ; - en association avec le lénalidomide et la dexaméthasone, ou le bortézomib et la dexaméthasone, pour le traitement des patients adultes atteints d’un myélome multiple ayant reçu au moins un traitement antérieur ; ; - en monothérapie, pour le traitement des patients adultes atteints d’un myélome multiple en rechute et réfractaire, pour lesquels les traitements antérieurs incluaient un inhibiteur du protéasome et un agent immunomodulateur et dont la maladie a progressé lors du dernier traitement."
Darzalex 20 Mg Ml Solution A Diluer Pour Perfusion 2,5155.0,"DARZALEX est indiqué : ; - en association avec le lénalidomide et la dexaméthasone ou avec le bortézomib, le melphalan et la prednisone pour le traitement des patients adultes atteints d’un myélome multiple nouvellement diagnostiqué et non éligibles à une autogreffe de cellules souches ; ; - en association avec le bortézomib, le thalidomide et la dexaméthasone pour le traitement des patients adultes atteints d’un myélome multiple nouvellement diagnostiqué et éligibles à une ; autogreffe de cellules souches ; ; - en association avec le lénalidomide et la dexaméthasone, ou le bortézomib et la dexaméthasone, pour le traitement des patients adultes atteints d’un myélome multiple ayant reçu au moins un traitement antérieur ; ; - en monothérapie, pour le traitement des patients adultes atteints d’un myélome multiple en rechute et réfractaire, pour lesquels les traitements antérieurs incluaient un inhibiteur du protéasome et un agent immunomodulateur et dont la maladie a progressé lors du dernier traitement."
Dazen Comprime,44.7,Traitement d'appoint des troubles de la sécrétion bronchique. ; Traitement d'appoint des oedèmes post-traumatiques et post-opératoires
Decapeptyl 01 Mg Solution Injectable,399.0,"Un effet favorable du médicament est d'autant plus net et plus fréquent que le patient n'a pas reçu auparavant un autre traitement hormonal. ; Infécondité féminine en traitement complémentaire, en association avec les gonadotrophines (hMG, FSH, hCG) au cours d'une induction de l'ovulation en vue d'une fécondation in vitro suivie d'un transfert d'embryons (FIVETE)."
Decapeptyl Lp 1125 Mg Suspension Injectable En Im,3037.0,"· Cancer de la prostate ; Traitement du cancer de la prostate localement avancé ou métastatique. ; Traitement du cancer de la prostate localisé à haut risque ou localement avancé, en association à la radiothérapie. ; Un effet favorable du médicament est d'autant plus net et plus fréquent que le patient n'a pas reçu auparavant un autre traitement hormonal. ; · Endométriose à localisation génitale et extragénitale (du stade I au stade IV) ; La durée du traitement est limitée à 6 mois. Il n'est pas souhaitable d'entreprendre une seconde cure par la triptoréline ou par un autre analogue de la GnRH. ; · Puberté précoce centrale (avant 8 ans chez la fille, avant 10 ans chez le garçon)."
Decapeptyl Lp 225 Mg Injectable,5858.0,"DECAPEPTYL LP 22,5 mg est indiqué dans le traitement du cancer de la prostate hormono-dépendant localement avancé ou métastatique. ; DECAPEPTYL LP 22,5 mg est indiqué dans le traitement du cancer de la prostate hormono-dépendant localisé à haut risque ou localement avancé en association à la radiothérapie. Voir section 5.1. ; DECAPEPTYL LP 22,5 mg est indiqué dans le traitement de la puberté précoce centrale (PPC) chez les enfants de 2 ans et plus avec un début de PPC avant 8 ans chez les filles et 10 ans chez les garçons."
Decapeptyl Lp 375 Mg Suspension Injectable En Im,1377.0,"Traitement du cancer de la prostate localement avancé ou métastatique. ; Traitement du cancer de la prostate localisé à haut risque ou localement avancé, en association à la radiothérapie. Voir rubrique 5.1. ; Un effet favorable du médicament est d'autant plus net et plus fréquent que le patient n'a pas reçu auparavant un autre traitement hormonal. ; · Puberté précoce (avant 8 ans chez la fille, avant 10 ans chez le garçon). ; · Endométriose à localisation génitale et extragénitale (du stade I au stade IV) ; La durée du traitement est limitée à 6 mois. Il n'est pas souhaitable d'entreprendre une seconde cure par la triptoréline ou par un autre analogue de la GnRH. ; · Infécondité féminine ; Traitement complémentaire, en association avec les gonadotrophines (hMG, FSH, hCG), au cours d'une induction de l'ovulation en vue d'une fécondation in vitro suivie d'un transfert d'embryon (FIVETE). ; · Traitement pré-opératoire des fibromes utérins : ; o associés à une anémie (avec un taux d’hémoglobine inférieur ou égal à 8 g/dl), ; o dans le cas où une réduction de la taille du fibrome est nécessaire pour faciliter ou modifier la technique opératoire : chirurgie endoscopique, chirurgie transvaginale. ; La durée du traitement est limitée à 3 mois. ; · Cancer du sein ; Traitement adjuvant, en association avec le tamoxifène ou un inhibiteur de l'aromatase, du cancer du sein hormonosensible à un stade précoce chez des femmes à haut risque de récidive, confirmées comme non ménopausées à l’issue d’une chimiothérapie."
Decrestin 10 Mg Comprime Pellicule 2,154.1,"Adultes ; Traitement de l'hypercholestérolémie ; Hypercholestérolémie primaire (type IIa incluant les hypercholestérolémies familiales hétérozygotes) ou dyslipidémies mixtes (type IIb), en complément d'un régime lorsque la réponse au régime et aux autres traitements non pharmacologiques n'est pas suffisante. ; En cas d'hypercholestérolémie familiale homozygote, en complément d'un régime et d'autres mesures à but hypolipémiant ou lorsque ces mesures ne sont pas appropriées. ; Prévention des complications cardio-vasculaires ; Rosuvastatine est utilisée pour réduire le risque d'événements cardio-vasculaires sévères chez les patients adultes présentant un taux normal de LDL-cholestérol, mais dont le risque de maladies cardio-vasculaires athéroscléreuses est accru en raison de l'âge (hommes ≥50 ans, femmes ≥60 ans), d'un taux accru de hsCRP (≥2,0 mg/l) et au moins d'un autre facteur de risque cardio-vasculaire tel qu'hypertension, tabagisme, faible taux de HDL-C ou antécédent familial de cardiopathie coronarienne prématurée. ; Chez les patients hypercholestérolémiques, il est nécessaire de surveiller les valeurs lipidiques et de respecter les recommandations posologiques ci-dessous. Il est en outre nécessaire de traiter les autres causes connues de morbi-mortalité cardio-vasculaire conformément aux directives applicables. ; Enfants et adolescents de 10 à 17 ans ; Garçons et filles (au moins un an après la ménarche) souffrant d'hypercholestérolémie familiale hétérozygote, en complément d'un régime alimentaire, lorsque la réponse au régime et aux autres mesures non pharmacologiques (p.ex. exercice physique, perte de poids) reste insuffisante."
