Nom du Médicament,URL,Image URL,Age minimal d'utilisation,Allaitement,Boîte,Classe thérapeutique,Code ATC,Composition,Conservation,Contres-indication(s),Convention de Vienne,Distributeur ou fabriquant,Dosage,Effets indésirable,Grossesse,Indication(s),Laboratoire détenteur de l'AMM dans le pays d'origine,Lien du Produit,Mises en garde,Nature du Produit,Notice en arabe,Notice en français,PPC,PPV,Particularité,Posologies et mode d'administration,Princeps,Prix hospitalier,Présentation,RCP,Risque potentiel de dépendance ou d’abus,Statut,Substance (s) psychoactive (s),Tableau,Tiers Payant
,https://medicament.ma/medicament/crizepine-100-mg5-ml-suspension-buvable/,,,,,"Antiépileptique, dérivé du carboxamide",N03AF01,Carbamazépine,,,,LAPROPHAN (https://medicament.ma/laboratoire/laprophan/),100 MG / 5 ML,,,"EPILEPSIES | CHEZ L’ADULTE | - soit en monothérapie ; | - soit en association à un autre traitement antiépileptique ; | - traitement des épilepsies partielles avec ou sans généralisation secondaire ; | - traitement des épilepsies généralisées : crises tonico-cloniques. | CHEZ L’ENFANT | - soit en monothérapie ; | - soit en association à un autre traitement antiépileptique ; | - traitement des épilepsies partielles avec ou sans généralisation secondaire ; | - traitement des épilepsies généralisées : crises tonico-cloniques. | PSYCHIATRIE | - Prévention des rechutes dans le cadre des troubles bipolaires, notamment chez les patients présentant une résistance relative, des contre-indications ou une intolérance au lithium. | - Traitement des états d’excitation maniaque ou hypomaniaque. | Douleurs | - Traitement des névralgies du trijumeau et du glossopharyngien. | - Traitement des douleurs neuropathiques de l’adulte.",,,,Médicament,,,,38.30 dhs,,,,23.90 dhs,Flacon de 150 ml,,,Commercialisé,Oui,A,
,https://medicament.ma/medicament/crizepine-200-mg-comprime-secable-2/,,,,,"Antiépileptique, dérivé du carboxamide",N03AF01,Carbamazépine,,,,LAPROPHAN (https://medicament.ma/laboratoire/laprophan/),200 MG,,,"EPILEPSIES | CHEZ L’ADULTE | - soit en monothérapie ; | - soit en association à un autre traitement antiépileptique ; | - traitement des épilepsies partielles avec ou sans généralisation secondaire ; | - traitement des épilepsies généralisées : crises tonico-cloniques. | CHEZ L’ENFANT | - soit en monothérapie ; | - soit en association à un autre traitement antiépileptique ; | - traitement des épilepsies partielles avec ou sans généralisation secondaire ; | - traitement des épilepsies généralisées : crises tonico-cloniques. | PSYCHIATRIE | - Prévention des rechutes dans le cadre des troubles bipolaires, notamment chez les patients présentant une résistance relative, des contre-indications ou une intolérance au lithium. | - Traitement des états d’excitation maniaque ou hypomaniaque. | Douleurs | - Traitement des névralgies du trijumeau et du glossopharyngien. | - Traitement des douleurs neuropathiques de l’adulte.",,,,Médicament,,,,47.90 dhs,,,,29.90 dhs,Boîte de 50,,,Commercialisé,,C,
,https://medicament.ma/medicament/cronodine-lp-120-mg-gelule/,,,,,Inhibiteur calcique,C08DB01,Diltiazem,,,,IBERMA (https://medicament.ma/laboratoire/iberma/),120 MG,,,"Classe pharmacothérapeutique - Antagoniste calcique sélectif à effets cardiaques directs / dérivé de benzothiazepine. | Diltiazem appartient à une classe de médicaments appelée les inhibiteurs calciques. Ce médicament permet une diminution du travail du cœur et une dilatation des vaisseaux sanguins. Il augmente le débit du sang dans les artères coronaires et améliore ainsi l’apport d’oxygène au cœur. | Ce médicament est utilisé : | · pour prévenir les crises d’angine de poitrine (angor d'effort, angor spontané dont l'angor de Prinzmetal). | L'angine de poitrine est responsable de l’apparition d’une douleur localisée dans la poitrine qui peut irradier vers l’épaule gauche et la mâchoire. Elle est provoquée par une diminution de l'apport en sang et en oxygène au niveau du cœur. | Ce médicament est réservé à l’adulte. Il est déconseillé de l’utiliser chez l’enfant",,,,Médicament,,,,113.50 dhs,,,,70.90 dhs,Boîte de 30,,,Commercialisé,,A,
,https://medicament.ma/medicament/cronodine-lp-240-mg-gelule/,,,,,Inhibiteur calcique,C08DB01,Diltiazem,,,,IBERMA (https://medicament.ma/laboratoire/iberma/),240 MG,,,"Classe pharmacothérapeutique - Antagoniste calcique sélectif à effets cardiaques directs / dérivé de benzothiazepine. | Diltiazem appartient à une classe de médicaments appelée les inhibiteurs calciques. Ce médicament permet une diminution du travail du cœur et une dilatation des vaisseaux sanguins. Il augmente le débit du sang dans les artères coronaires et améliore ainsi l’apport d’oxygène au cœur. | Ce médicament est utilisé : | · pour prévenir les crises d’angine de poitrine (angor d'effort, angor spontané dont l'angor de Prinzmetal). | L'angine de poitrine est responsable de l’apparition d’une douleur localisée dans la poitrine qui peut irradier vers l’épaule gauche et la mâchoire. Elle est provoquée par une diminution de l'apport en sang et en oxygène au niveau du cœur. | Ce médicament est réservé à l’adulte. Il est déconseillé de l’utiliser chez l’enfant",,,,Médicament,,,,165.00 dhs,,,,103.10 dhs,Boîte de 30,,,Commercialisé,,A,
,https://medicament.ma/medicament/cross-4-mg-ml-goutte-occulaire-en-unidose-refermable/,,,,,,,Hualuronate de sodium réticulé,,,,NON RENSEIGNÉ (https://medicament.ma/laboratoire/nd/),,,,Sécheresse modéré et sévère. | Ré-épithelialisation et cicatrisation cornéenne,,,,Dispositif médical,,,105.00 dhs,,E-PROM,,,,Boite de 10,,,Commercialisé,,Aucun,
,https://medicament.ma/medicament/curacid-fast-comprime/,,,,,,,,,,,NON RENSEIGNÉ (https://medicament.ma/laboratoire/nd/),,,,,,,,Complément alimentaire,,,98.00 dhs,,,,,,Boite de 30,,,Commercialisé,,Aucun,
,https://medicament.ma/medicament/curacne-10-mg-capsule-molle/,,,,,Antiacneique,D10BA01,Isotrétinoïne,,"L’isotrétinoïne est contre-indiquée chez les femmes enceintes ou qui allaitent. | L’isotrétinoïne est contre-indiquée chez les femmes en âge de procréer sauf si toutes les conditions du « Programme de prévention de la grossesse » sont remplies. | L’isotrétinoïne est également contre-indiquée en cas de : | · hypersensibilité à la substance active ou à l’un des excipients. | · insuffisance hépatique ; | · hyperlipidémie ; | · hypervitaminose A; | · association avec les tétracyclines; | · prise concomitante de vitamine A; | · prise concomitante d’autres rétinoïdes (acitrétine, alitrétinoïne).",,MAPHAR (https://medicament.ma/laboratoire/maphar/),10 MG,,Non,,,,Effets tératogènes : | L'isotrétinoïne est un médicament tératogène puissant chez l’Homme entraînant une incidence élevée d’anomalies congénitales sévères et potentiellement létales chez l’enfant à naître. | L'isotrétinoïne est strictement contre-indiqué chez : | · les femmes enceintes ; | · les femmes en âge de procréer sauf si toutes les conditions du Programme de prévention de la grossesse sont remplies.,Médicament,,,,142.30 dhs,,,,88.90 dhs,Boîte de 30,,,Commercialisé,,A,
,https://medicament.ma/medicament/curacne-20-mg-capsule-molle/,,,,,Antiacneiques,D10BA01,Isotrétinoïne,,"L’isotrétinoïne est contre-indiquée chez les femmes enceintes ou qui allaitent. | L’isotrétinoïne est contre-indiquée chez les femmes en âge de procréer sauf si toutes les conditions du « Programme de prévention de la grossesse » sont remplies. | L’isotrétinoïne est également contre-indiquée en cas de : | · hypersensibilité à la substance active ou à l’un des excipients. | · insuffisance hépatique ; | · hyperlipidémie ; | · hypervitaminose A; | · association avec les tétracyclines; | · prise concomitante de vitamine A; | · prise concomitante d’autres rétinoïdes (acitrétine, alitrétinoïne).",,MAPHAR (https://medicament.ma/laboratoire/maphar/),20 MG,,Non,Formes sévères d'acné s'étant révélées résistantes à des cycles thérapeutiques standard adéquats avec des antibiotiques systémiques et des traitements topiques.,,,Effets tératogènes : | L'isotrétinoïne est un médicament tératogène puissant chez l’Homme entraînant une incidence élevée d’anomalies congénitales sévères et potentiellement létales chez l’enfant à naître. | L'isotrétinoïne est strictement contre-indiqué chez : | · les femmes enceintes ; | · les femmes en âge de procréer sauf si toutes les conditions du Programme de prévention de la grossesse sont remplies.,Médicament,,,,270.00 dhs,,,,169.10 dhs,Boîte de 30,,,Commercialisé,,A,
,https://medicament.ma/medicament/curacne-40-mg-capsule-molle/,,,,,Antiacneiques,D10BA01,Isotrétinoïne,,,,MAPHAR (https://medicament.ma/laboratoire/maphar/),40 MG,,Non,Formes sévères d'acné s'étant révélées résistantes à des cycles thérapeutiques standard adéquats avec des antibiotiques systémiques et des traitements topiques.,,,,Médicament,,,,483.00 dhs,,,,321.00 dhs,Boîte de 30,,,Commercialisé,,A,
,https://medicament.ma/medicament/curacne-5-mg-capsule-molle/,,,,,Antiacneique,D10BA01,Isotrétinoïne,,,,MAPHAR (https://medicament.ma/laboratoire/maphar/),5 MG,,Non,Formes sévères d'acné s'étant révélées résistantes à des cycles thérapeutiques standard adéquats avec des antibiotiques systémiques et des traitements topiques.,,,,Médicament,,,,114.90 dhs,,,,71.80 dhs,Boîte de 30,,,Commercialisé,,A,
,https://medicament.ma/medicament/curarti-forte-comprime/,,,,,,,Curcuma | Vitamine C | Molybdene,,,,NON RENSEIGNÉ (https://medicament.ma/laboratoire/nd/),,,,,,,,Complément alimentaire,,,149.50 dhs,,Fournisseur : MEDIPRO PHARMA,,,,Boite de 30,,,Commercialisé,,Aucun,
,https://medicament.ma/medicament/curarti-forte-comprime-2/,,,,,,,Curcuma | Vitamine C | Molybdene,,,,NON RENSEIGNÉ (https://medicament.ma/laboratoire/nd/),,,,,,,,Complément alimentaire,,,89.50 dhs,,Fournisseur : MEDIPRO PHARMA,,,,Boite de 15,,,Commercialisé,,Aucun,
,https://medicament.ma/medicament/curarti-gel/,,,,,,,Curcuma et 10 actifs naturels,,,,NON RENSEIGNÉ (https://medicament.ma/laboratoire/nd/),,,,,,,,Complément alimentaire,,,99.50 dhs,,MEDIPRO PHARMA,,,,Tube de 100 ml,,,Commercialisé,,Aucun,
,https://medicament.ma/medicament/curcudose-gelule/,,,,,,,Extrait de curcuma | Extrait de poivre noir | Poudre d'exsudat de bambou | Oxyde de magnesium marin | stéarate de magnésium végétal | céllule végétale,,,,NON RENSEIGNÉ (https://medicament.ma/laboratoire/nd/),,,,Le curcuma contribue à maintenir le bon fonctionnement des articulations et des tendons. Le poivre noir favorise l'assimilation du curcuma. le curcuma améliore les fonctions digestives.,,,,Complément alimentaire,,,145.00 dhs,,,,,,Boite de 30,,,Commercialisé,,Aucun,
,https://medicament.ma/medicament/curcuraflex-forte-gelule/,,,,,Actifs naturels,,Extrait de curcumma longa | Extrait de zingiber officinale,,,,DEVA PHARMACEUTIQUE (https://medicament.ma/laboratoire/deva-pharmaceutique/),,,,Puissant anti-inflammatoire naturel,,,,Complément alimentaire,,,83.00 dhs,,,,,,Boite de 30,,,Commercialisé,,Aucun,
,https://medicament.ma/medicament/curcuraflex-forte-gelule-2/,,,,,Actifs naturels,,Extrait de curcumma longa | Extrait de zingiber officinale,,,,DEVA PHARMACEUTIQUE (https://medicament.ma/laboratoire/deva-pharmaceutique/),,,,Puissant anti-inflammatoire naturel,,,,Complément alimentaire,,,139.00 dhs,,,,,,Boite de 60,,,Commercialisé,,Aucun,
,https://medicament.ma/medicament/cureaml-500mg-gelule/,,,,,Cytostatique,L01XX05,Hydroxycarbamide,,,,PROMOPHARM (HIKMA) (https://medicament.ma/laboratoire/promopharm-s-a/),500 MG,,,Traitement des patients atteints de | · leucémies myéloïdes chroniques résistantes | · polyglobulie primitive (polycythémia vera) | · thrombocytémie essentielle avec un fort risque de complications thromboemboliques,,,,Médicament,,,,69.50 dhs,,,,43.40 dhs,Boite de 30,,,Commercialisé,,A,
,https://medicament.ma/medicament/curosurf-120-mg/,,,,,Surfactant pulmonaire,R07AA02,Fraction phospholipidique de poumon,,,,PROMOPHARM (HIKMA) (https://medicament.ma/laboratoire/promopharm-s-a/),120 MG,,,Traitement des nouveau-nés prématurés à haut risque de présenter ou présentant un syndrome de détresse respiratoire (SDR) par déficit en surfactant pulmonaire (maladie des membranes hyalines).,,,,Médicament,,,,4205.00 dhs,,,Oui,3917.00 dhs,Flacon de 1.5 ML,,,Commercialisé,,A,
,https://medicament.ma/medicament/curtec-1mg1ml-solution-buvable/,,2 ans,,,Antihistamique H1,R06AE07,Cétirizine,,,,BOTTU S.A. (https://medicament.ma/laboratoire/bottu-s-a/),1 MG / ML,,,- Traitement des symptômes nasaux et oculaires des rhinites allergiques saisonnières et perannuelles ; | - Traitement des symptômes de l'urticaire chronique idiopathique.,,,,Médicament,,,,18.70 dhs,,,,11.70 dhs,Flacon de 60 ml,,,Commercialisé,,C,
,https://medicament.ma/medicament/curtec-10-mg-comprime-2/,,,,,Antihistaminique H1,R06AE07,Cétirizine,,,,BOTTU S.A. (https://medicament.ma/laboratoire/bottu-s-a/),10 MG,,,Les comprimés pelliculés de dichlorhydrate de cétirizine 10 mg sont indiqués chez l'adulte et l'enfant de 6 ans et plus : | · dans le traitement des symptômes nasaux et oculaires des rhinites allergiques saisonnières et per annuelles ; | · dans le traitement des symptômes de l'urticaire chronique idiopathique.,,,,Médicament,,,,82.20 dhs,,,,51.40 dhs,Boite de 30,,,Commercialisé,,C,
,https://medicament.ma/medicament/curtec-10-mg-comprime/,,,,,Antihistaminique H1,R06AE07,Cétirizine,,,,BOTTU S.A. (https://medicament.ma/laboratoire/bottu-s-a/),10 MG,,,Cétirizine  dosé à 10 mg est indiqué chez l'adulte et l’enfant de 6 ans et plus : | - dans le traitement des symptômes nasaux et oculaires des rhinites allergiques saisonnières et perannuelles ; | - dans le traitement des symptômes de l'urticaire chronique idiopathique ; | Un avis médical est recommandé pour l’urticaire chronique idiopathique.,,,,Médicament,,,,42.80 dhs,,,,26.70 dhs,Boîte de 15,,,Commercialisé,,C,
,https://medicament.ma/medicament/cutacnyl-01-gel/,,,,,Antiacneïque,D10AE01,Peroxyde de benzoyle,,,,SOTHEMA (https://medicament.ma/laboratoire/sothema/),10 %,,,"Acné vulgaire. | Cutacnyl 2,5 % et Cutacnyl 5 % seront préférentiellement utilisés dans les cas suivants : | - acnés débutantes de l’adolescent, | - chez les sujets à peau fragile, notamment les enfants, les sujets blonds ou roux, | - en début de traitement, en période d’essai, afin de s’assurer de la bonne tolérance du produit, | - en cure d’entretien des acnés blanchies.",,,,Médicament,,,,34.50 dhs,,,,21.50 dhs,Tube de 40 g,,,Commercialisé,,C,
,https://medicament.ma/medicament/cutacnyl-0025-gel/,,,,,Antiacnéique,D10AE01,Peroxyde de benzoyle,,,,SOTHEMA (https://medicament.ma/laboratoire/sothema/),2.5 %,,,"Acné vulgaire. | Cutacnyl 2,5 % et Cutacnyl 5 % seront préférentiellement utilisés dans les cas suivants : | · acnés débutantes de l’adolescent, | · chez les sujets à peau fragile, notamment les enfants, les sujets blonds ou roux, | · en début de traitement, en période d’essai, afin de s’assurer de la bonne tolérance du produit, | · en cure d’entretien des acnés blanchies.",,,,Médicament,,,,27.30 dhs,,,,17.10 dhs,Tube de 40 g,,,Commercialisé,,C,
,https://medicament.ma/medicament/cutacnyl-005-gel/,,,,,Antiacneïque,D10AE01,Peroxyde de benzoyle,,,,SOTHEMA (https://medicament.ma/laboratoire/sothema/),5 %,,,"Acné vulgaire. | Cutacnyl 2,5 % et Cutacnyl 5 % seront préférentiellement utilisés dans les cas suivants : | · acnés débutantes de l’adolescent, | · chez les sujets à peau fragile, notamment les enfants, les sujets blonds ou roux, | · en début de traitement, en période d’essai, afin de s’assurer de la bonne tolérance du produit, | · en cure d’entretien des acnés blanchies.",,,,Médicament,,,,34.50 dhs,,,,21.50 dhs,Tube de 40 g,,,Commercialisé,,C,
,https://medicament.ma/medicament/cyclo-3-fort-gelule/,,,,,Veinotonique et vasculoprotecteur,C05CX,Extrait de ruscus aculeatus | Hespéridine méthylchalcone | Acide Ascorbique,,,,MAPHAR (https://medicament.ma/laboratoire/maphar/),150 MG | 150 MG | 100 MG,,,"Chez l’adulte : | - Traitement des symptômes en rapport avec une insuffisance veinolymphatique (jambes lourdes, douleurs, impatiences de primodécubitus). | - Traitement des signes fonctionnels liés à la crise hémorroïdaire.",,,,Médicament,,,,69.90 dhs,,,,43.70 dhs,Boîte de 30,,,Commercialisé,,Aucun,
,https://medicament.ma/medicament/cyclo-3-fort-solution-buvable/,,,,,Vasculoprotecteur veinotoniqueique,C05CX,Extrait de ruscus aculeatus  | Hesperidine methylchalcone | Acide ascorbique,,,,MAPHAR (https://medicament.ma/laboratoire/maphar/),150 MG  | 150 MG | 100 MG,,,"Indiqué chez l’adulte : | · Traitement des symptômes en rapport avec une insuffisance veinolymphatique (jambes lourdes, douleurs, impatiences de primodécubitus). | · Traitement des signes fonctionnels liés à la crise hémorroïdaire.",,,,,,,,81.10 dhs,,,Oui,53.60 dhs,Boîte de 30,,,Commercialisé,,Aucun,
,https://medicament.ma/medicament/cyclolux-0-5-mmol-ml-solution-injectable-2/,,,,,Produit de contraste paramagnétique,V08CA02,Acide gadotérique,,,,PHARMAPROM (https://medicament.ma/laboratoire/pharmaprom/),0.5 MMOL / ML,,,,,,,,,,,390.00 dhs,,,,259.00 dhs,Flacon de 15 ml,,,Commercialisé,,,
,https://medicament.ma/medicament/cyclolux-0-5-mmol-ml-solution-injectable/,,,,,Produit de contraste paramagnétique,V08CA02,Acide gadotérique,,,,PHARMAPROM (https://medicament.ma/laboratoire/pharmaprom/),0.5 MMOL / ML,,,,,,,,,,,267.00 dhs,,,,177.80 dhs,Boite d'un flacon de 10 ML,,,Commercialisé,,,
,https://medicament.ma/medicament/cyclomide-novopharma-1000-mg-poudre-pour-usage-parenterale/,,,,,Antineoplasique cytotoxique,L01AA01,Cyclophosphamide,,,,NOVOPHARMA (https://medicament.ma/laboratoire/novopharma/),1000 MG,,,"Traitement adjuvant et en situation métastatique des adénocarcinomes mammaires. | Traitement des cancers ovariens, des cancers bronchiques notamment à petites cellules, des séminomes et carcinomes embryonnaires testiculaires, des cancers de la vessie, des sarcomes, des neuroblastomes, des lymphomes malins hodgkiniens et non hodgkiniens, des myélomes multiples, des leucémies aiguës notamment lymphoïdes. | A forte dose, conditionnement des allo- et autogreffes médullaires. | A faible dose, traitement des polyarthrites rhumatoïdes, granulomatose de Wegener, de certaines formes sévères de lupus érythémateux aigus disséminés, de néphropathies auto-immunes cortico-résistantes.",,,,Médicament,,,,80.00 dhs,,,,50.00 dhs,Flacon de 1000 mg,,,Commercialisé,,A,
